top - 13:06:54 up 41 min,  1 user,  load average: 0.46, 0.33, 0.44
Tasks: 176 total,   1 running, 130 sleeping,   0 stopped,   1 zombie
%Cpu(s): 15.2 us,  3.8 sy,  3.3 ni, 68.3 id,  9.3 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8168452 total,  5246948 free,   877872 used,  2043632 buff/cache
KiB Swap:  4194300 total,  4194300 free,        0 used.  6926056 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 2896 rtkit     21   1  183544   2932   2652 S  0.0  0.0   0:00.03 rtkit-daemon
 2930 jmeter+   20   0  702208  23188  19508 S  0.0  0.3   0:00.22 evolution-sourc
 2939 colord    20   0  301092  10828   8224 S  0.0  0.1   0:00.25 colord
 2985 jmeter+   20   0  863092  60028  22000 S  0.0  0.7   0:00.58 evolution-calen
 3015 jmeter+   20   0 1039400 104944  29012 S  0.0  1.3   0:10.17 gnome-software
 3017 jmeter+   20   0  829508  44192  35248 S  0.0  0.5   0:02.38 nautilus
 3018 jmeter+   20   0  576864  20508  17244 S  0.0  0.3   0:00.18 unity-fallback-
 3020 jmeter+   20   0  663140  32448  27324 S  0.0  0.4   0:00.53 nm-applet
 3042 jmeter+   20   0   49500   1424   1120 S  0.0  0.0   0:00.31 VBoxClient
 3050 jmeter+   20   0  636816  31348  26512 S  0.0  0.4   0:00.54 polkit-gnome-au
 3082 jmeter+   20   0  285440   7528   6396 S  0.0  0.1   0:00.07 gvfs-udisks2-vo
 3116 root      20   0  366996   7672   5884 S  0.0  0.1   0:00.07 udisksd
 3140 root      20   0  504840  34076  10548 S  0.0  0.4   0:02.87 fwupd
 3160 jmeter+   20   0  259520   4600   4204 S  0.0  0.1   0:00.00 gvfs-mtp-volume
 3165 jmeter+   20   0  403604   8876   7852 S  0.0  0.1   0:00.01 gvfs-afc-volume
 3171 jmeter+   20   0  271716   4916   4392 S  0.0  0.1   0:00.01 gvfs-gphoto2-vo
 3176 jmeter+   20   0  257528   5060   4688 S  0.0  0.1   0:00.01 gvfs-goa-volume
 3222 jmeter+   20   0  807920  50136  13504 S  0.0  0.6   0:00.42 evolution-calen
 3227 jmeter+   20   0  350548   6308   5592 S  0.0  0.1   0:00.02 gvfsd-trash
 3244 jmeter+   20   0  800368  49764  13096 S  0.0  0.6   0:00.45 evolution-calen
 3248 jmeter+   20   0  690560  18192  15400 S  0.0  0.2   0:00.10 evolution-addre
